,returns,garch_rolling_95_t,garch_rolling_99_t,garch_rolling_95_n,garch_rolling_99_n
2017-06-06,-0.2782908666204083,-0.7697598826786747,-1.3663983784874434,-0.8637998637581891,-1.2449855238560033
2017-06-07,0.1567028796347538,-0.7531192365145644,-1.3347099103165587,-0.8564104819307026,-1.2342143014743203
2017-06-08,0.0267169035664767,-0.7080179335769113,-1.262163858178766,-0.8155463504756901,-1.176998918327738
2017-06-09,-0.0830333866187276,-0.6652391638360969,-1.1909782527013273,-0.781793847812408,-1.1294348659087705
2017-06-12,-0.0979242479718113,-0.636433031853696,-1.1419949205585682,-0.7639728369163489,-1.1037378703502376
2017-06-13,0.450135884323014,-0.6115873956118124,-1.097049285720147,-0.750243073822598,-1.0839517930080407
2017-06-14,-0.0996326965317602,-0.646633705409057,-1.1599659602556476,-0.7871669723232181,-1.1363852446747362
2017-06-15,-0.2242109796840374,-0.6200545027112307,-1.1150863299981144,-0.7644855701826511,-1.1043444087215764
2017-06-16,0.0283599150059695,-0.6201581148278562,-1.1132721309168156,-0.766775569793292,-1.1072151066634452
2017-06-19,0.8312583206893995,-0.5870486455790142,-1.053226074376529,-0.7373063402239253,-1.065743116958683
2017-06-20,-0.6719160446931665,-0.7764113704854577,-1.3820575653212057,-0.9184762214641599,-1.3233201710082012
2017-06-21,-0.0582814193271596,-0.8829801930408749,-1.5564475333641767,-1.0180753120538206,-1.464003000734999
2017-06-22,-0.0455885972438085,-0.8137886166254846,-1.4329425813502266,-0.9296561739804101,-1.339370511582966
2017-06-23,0.1559698555409097,-0.7561418723000323,-1.3409465921366917,-0.8609320053165891,-1.2426972619998975
2017-06-26,0.0315751939732361,-0.7052507218826806,-1.2521637500214415,-0.8067729613429568,-1.1661334825790963
2017-06-27,-0.8105586575672906,-0.660355636428913,-1.1769984478534679,-0.7641592631371849,-1.105779067449157
2017-06-28,0.8769501646551084,-0.8644355392530175,-1.5224760212947215,-0.9963075650665221,-1.4332673389442467
2017-06-29,-0.8637216844141349,-0.9897286816089731,-1.7321746084940288,-1.1056478340826112,-1.5890675839390755
2017-06-30,0.1532057610873533,-1.1191822169220158,-1.94815929344105,-1.226834022957603,-1.7600678545938504
2017-07-03,0.230816797914758,-0.9999879035596698,-1.7518654109598142,-1.0732019304762939,-1.5435886249998787
2017-07-05,0.14522240362887,-0.9124492173326137,-1.6016951400547514,-0.9671243905378565,-1.3933799334759642
2017-07-06,-0.9412987306866184,-0.8354846004829374,-1.4767517442076512,-0.8825636800267671,-1.273372977572587
2017-07-07,0.6382712569615802,-1.045282733474574,-1.8430770874647493,-1.1364203010957667,-1.6307580179363905
2017-07-10,0.0927336103512565,-1.0324913246120095,-1.8181654790109232,-1.105452538227686,-1.5869664116934412
2017-07-11,-0.0782987066082173,-0.9312728472358086,-1.643920571758232,-0.985578435901275,-1.4174024380598744
2017-07-12,0.7279050947821435,-0.8554373658913753,-1.5177434180547855,-0.9037769284504475,-1.301292446507003
2017-07-13,0.1872829473473065,-0.9168380351524181,-1.618203924971806,-0.9821706762659322,-1.4128843223587566
